
           Total tracked memory (including duplicates, so too high) = 130769712
Unity  components of total size: 86970323
    Type: antlr.CommonAST of size 24
    Type: antlr.debug.MatchEventArgs of size 24
    Type: antlr.CommonHiddenStreamToken of size 24
    Type: antlr.TreeParser of size 24
    Type: Boo.Lang.Parser.BooToken of size 24
    Type: antlr.TokenStreamRewriteEngine+RewriteOperationComparer of size 24
    Type: antlr.CommonToken of size 24
    Type: antlr.FileLineFormatter of size 24
    Type: antlr.debug.InputBufferEventArgs of size 16
    Type: antlr.debug.InputBufferEventSupport of size 16
    Type: antlr.collections.impl.BitSet of size 16
    Type: antlr.debug.TraceEventArgs of size 12
    Type: antlr.debug.TokenEventArgs of size 8
    Type: antlr.debug.SemanticPredicateEventArgs of size 8
    Type: antlr.debug.MessageEventArgs of size 8
    Type: antlr.ParseTreeRule of size 4
    Type: Boo.Lang.Parser.ParserSettings of size 4
    Type: antlr.BaseAST of size 4
    Type: antlr.CharBuffer of size 4
    Type: antlr.ByteBuffer of size 4
Assembly: mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089 of total size: 696734
    Type: System.Console of size 187078
    Type: System.MonoEnumInfo of size 99124
    Type: System.Security.Cryptography.CryptoConfig of size 64708
    Type: System.Resources.ResourceManager of size 24483
    Type: System.NumberFormatter of size 22208
    Type: Microsoft.Win32.KeyHandler of size 22188
    Type: System.Globalization.CompareInfo of size 21820
    Type: System.Collections.CaseInsensitiveHashCodeProvider of size 21484
    Type: System.Collections.CaseInsensitiveComparer of size 21460
    Type: System.Threading.Timer of size 16512
    Type: System.Threading.Timer+Scheduler of size 16504
    Type: Mono.Globalization.Unicode.SimpleCollator of size 14456
    Type: System.Globalization.CultureInfo of size 12354
    Type: System.Reflection.Emit.OpCodeNames of size 12144
    Type: System.StringComparer of size 10538
    Type: System.Collections.Comparer of size 10474
    Type: System.Security.Cryptography.RijndaelTransform of size 9088
    Type: Mono.Globalization.Unicode.MSCompatUnicodeTable of size 8632
    Type: System.Security.Cryptography.DESTransform of size 6424
    Type: System.Text.Encoding of size 5020
    Type: System.Globalization.DateTimeFormatInfo of size 4664
    Type: Consts of size 4536
    Type: System.DateTime of size 4340
    Type: System.Security.Policy.DefaultPolicies of size 3728
    Type: Mono.Math.BigInteger of size 3264
    Type: System.Reflection.Emit.DynamicMethod+AnonHostModuleHolder of size 3184
    Type: System.Runtime.Serialization.Formatters.Binary.CodeGenerator of size 2928
    Type: System.Runtime.Remoting.RemotingConfiguration of size 2556
    Type: System.IO.StreamWriter of size 2280
    Type: System.Convert of size 2236
    Type: System.Runtime.Serialization.Formatters.Binary.BinaryCommon of size 2187
    Type: System.Runtime.Remoting.Metadata.W3cXsd2001.SoapDateTime of size 2104
    Type: System.Runtime.Remoting.SoapServices of size 1820
    Type: System.Reflection.Emit.OpCodes of size 1808
    Type: Microsoft.Win32.Registry of size 1692
    Type: System.Runtime.Remoting.Metadata.W3cXsd2001.SoapTime of size 1576
    Type: Mono.Globalization.Unicode.NormalizationTableUtil of size 1540
    Type: System.Runtime.Remoting.RemotingServices of size 1524
    Type: Mono.Security.Uri of size 1160
    Type: Mono.Security.X509.PKCS12 of size 1140
    Type: Mono.Globalization.Unicode.MSCompatUnicodeTableUtil of size 1029
    Type: System.Security.Cryptography.SHAConstants of size 944
    Type: System.Runtime.Serialization.Formatters.Binary.ObjectWriter of size 812
    Type: Mono.Security.PKCS7+Oid of size 792
    Type: System.Runtime.Remoting.Messaging.ConstructionCallDictionary of size 760
    Type: System.IO.BinaryWriter of size 664
    Type: System.TimeZone of size 612
    Type: System.Runtime.Remoting.Channels.CrossAppDomainSink of size 596
    Type: System.Text.UTF7Encoding of size 596
    Type: System.Runtime.Remoting.Messaging.MethodReturnDictionary of size 544
    Type: System.Runtime.Remoting.Channels.ChannelServices of size 536
    Type: System.TermInfoDriver of size 508
    Type: System.Globalization.JapaneseCalendar of size 472
    Type: System.MonoCustomAttrs of size 456
    Type: Mono.Security.X509.PKCS5 of size 432
    Type: System.Globalization.NumberFormatInfo of size 432
    Type: System.Globalization.JapaneseLunisolarCalendar of size 428
    Type: Mono.Security.X509.X501 of size 425
    Type: System.Runtime.Remoting.Metadata.W3cXsd2001.SoapDate of size 424
    Type: System.Security.Permissions.SiteIdentityPermission of size 404
    Type: System.Globalization.KoreanCalendar of size 404
    Type: System.Globalization.KoreanLunisolarCalendar of size 404
    Type: System.Globalization.ThaiBuddhistCalendar of size 404
    Type: System.Globalization.TaiwanLunisolarCalendar of size 404
    Type: System.Globalization.ChineseLunisolarCalendar of size 404
    Type: System.Globalization.TaiwanCalendar of size 400
    Type: System.Runtime.Serialization.SerializationCallbacks of size 392
    Type: System.Runtime.Remoting.Messaging.MethodCallDictionary of size 384
    Type: System.Runtime.Remoting.Metadata.W3cXsd2001.SoapYearMonth of size 376
    Type: System.Runtime.Remoting.Contexts.Context of size 368
    Type: System.Runtime.Remoting.InternalRemotingServices of size 364
    Type: System.Runtime.InteropServices.ExtensibleClassFactory of size 364
    Type: System.Security.Policy.DefaultPolicies+ReservedNames of size 352
    Type: System.Runtime.Remoting.Metadata.W3cXsd2001.SoapYear of size 336
    Type: System.Security.Cryptography.MD5CryptoServiceProvider of size 288
    Type: System.Security.Cryptography.RC2Transform of size 280
    Type: Mono.Security.X509.PKCS12+DeriveBytes of size 264
    Type: Mono.Security.Cryptography.PKCS1 of size 260
    Type: System.Security.Cryptography.Base64Constants of size 235
    Type: System.Security.Permissions.FileIOPermission of size 206
    Type: System.Runtime.Remoting.Messaging.RemotingSurrogateSelector of size 200
    Type: Mono.Security.X509.X509Stores+Names of size 200
    Type: System.Runtime.Remoting.Proxies.RemotingProxy of size 200
    Type: System.Security.Cryptography.DES of size 180
    Type: System.Diagnostics.SymbolStore.SymLanguageType of size 176
    Type: System.IO.Path of size 170
    Type: System.Collections.Hashtable of size 164
    Type: System.Text.EncoderFallbackException of size 152
    Type: System.Security.SecurityElement of size 152
    Type: System.Text.DecoderFallbackException of size 152
    Type: System.Security.PermissionSet of size 148
    Type: Mono.Security.X509.PKCS9 of size 144
    Type: System.Runtime.Remoting.Metadata.W3cXsd2001.SoapDay of size 136
    Type: System.Text.DecoderFallback of size 136
    Type: System.Runtime.Remoting.Metadata.W3cXsd2001.SoapMonthDay of size 136
    Type: System.Text.EncoderFallback of size 136
    Type: System.Runtime.Remoting.Messaging.MethodReturnMessageWrapper+DictionaryWrapper of size 136
    Type: System.Runtime.Remoting.Metadata.W3cXsd2001.SoapMonth of size 136
    Type: System.Type of size 134
    Type: System.AppDomain of size 128
    Type: System.Runtime.Remoting.Lifetime.LifetimeServices of size 128
    Type: Mono.Security.X509.X509Certificate of size 128
    Type: System.Decimal of size 124
    Type: System.Reflection.Emit.ILGenerator of size 124
    Type: System.Collections.SortedList+Enumerator of size 120
    Type: System.Runtime.Remoting.Channels.CrossAppDomainChannel of size 112
    Type: System.Collections.Hashtable+Enumerator of size 112
    Type: System.Environment of size 108
    Type: System.String of size 106
    Type: Mono.Globalization.Unicode.Normalization of size 96
    Type: System.Security.Policy.MonoTrustManager of size 80
    Type: System.Boolean of size 80
    Type: System.Reflection.ConstructorInfo of size 80
    Type: System.Runtime.Remoting.Messaging.MethodCallMessageWrapper+DictionaryWrapper of size 80
    Type: System.Threading.Thread of size 80
    Type: System.Security.Policy.CodeConnectAccess of size 80
    Type: System.Double of size 76
    Type: System.Security.Policy.MembershipConditionHelper of size 72
    Type: System.Security.Policy.ApplicationSecurityManager of size 72
    Type: Mono.Security.Authenticode.AuthenticodeBase of size 72
    Type: System.ControlCharacters of size 68
    Type: System.Guid of size 64
    Type: System.TimeSpan of size 64
    Type: System.Security.Policy.NetCodeGroup of size 64
    Type: System.Runtime.Remoting.Services.TrackingServices of size 64
    Type: System.IO.TextWriter of size 60
    Type: System.IO.SearchPattern of size 56
    Type: System.CurrentSystemTimeZone of size 52
    Type: Mono.DataConverter of size 52
    Type: System.Reflection.Module of size 52
    Type: System.IO.IsolatedStorage.IsolatedStorageFile of size 48
    Type: System.Globalization.HebrewCalendar of size 48
    Type: System.Security.SecurityManager of size 48
    Type: System.Globalization.PersianCalendar of size 44
    Type: System.Security.PermissionBuilder of size 44
    Type: System.DateTimeOffset of size 40
    Type: System.Collections.Generic.List`1[[System.Collections.Generic.List`1[[System.String, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]], mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.UI.GeUIEffectParticle, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.FunctionFrame+MissionTraceObject, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[Battle.DungeonAddMonsterDropItem, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[ETCButton+CacheObject, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[Battle.DungeonHellWaveInfo, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[Battle.DungeonArea, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[ComEffect+Effect, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[System.Windows.Forms.ToolStripMenuItem, System.Windows.Forms, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 36
    Type: System.Collections.Generic.List`1[[DG.Tweening.DOTweenAnimation, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.IClientFrame, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.ActiveChargeFrame+ActiveObject, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.ActiveChargeFrame+TabObject, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[Protocol.MailTitleInfo, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[Protocol.SkillBar, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[Protocol.SkillBarGrid, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[Battle.DungeonBuff, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.Component, UnityEngine, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.ChatData, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.UIFrameScript+FunctionBase, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[AnimationController, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[System.WeakReference, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 36
    Type: System.Collections.Generic.List`1[[ProtoTable.ActiveMainTable, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Globalization.UmAlQuraCalendar of size 36
    Type: System.Collections.Generic.List`1[[Unity.PackageManager.Ivy.IvyModule, Unity.IvyParser, Version=1.0.3.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[Battle.DungeonDropItem, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[Protocol.SceneObject, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.ComChapterInfoDropUnit, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.UI.IClippable, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Globalization.HijriCalendar of size 36
    Type: System.Collections.Generic.List`1[[AssetStatistician+EffectResDesc, Assembly-CSharp-Editor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.ChapterSelectFrame+Node, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.MsgTag, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[System.String, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 36
    Type: System.Collections.Generic.List`1[[System.Xml.Linq.XElement, System.Xml.Linq, Version=3.5.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 36
    Type: System.Collections.Generic.List`1[[NPOI.HSSF.Record.ArrayRecord, NPOI, Version=2.2.0.0, Culture=neutral, PublicKeyToken=0df73ec7942b34e1]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.ClientSystemTown+DoorNode, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.UI.RectMask2D, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[System.Type, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.Skillbar, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[ComCreateRoleScene+RoleDemoDesc, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UITexturePacker+SpriteMetaDesc, Assembly-CSharp-Editor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.Sprite, UnityEngine, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[Battle.DungeonOpenInfo, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[Battle.DungeonInfo, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UITextureRenamer+FileDesc, Assembly-CSharp-Editor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[Battle.DungeonHardInfo, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[System.Reflection.EventInfo, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 36
    Type: System.Collections.Generic.List`1[[System.Reflection.PropertyInfo, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 36
    Type: System.Collections.Generic.List`1[[Protocol.AuctionBaseInfo, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.ComChapterInfoDrugUnit, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.BeBaseActor, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[DSceneDataEditorWindow+ModInfo, Assembly-CSharp-Editor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[ToLuaMenu+BindType, Assembly-CSharp-Editor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[Unity.PackageManager.Ivy.IvyDependency, Unity.IvyParser, Version=1.0.3.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.RetinueAutoLockSkill, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[ICSharpCode.NRefactory.Ast.TypeReference, ICSharpCode.NRefactory, Version=3.2.1.6466, Culture=neutral, PublicKeyToken=efe927acf176eea2]] of size 36
    Type: System.Collections.Generic.List`1[[UnityScript.Lang.Expando, UnityScript.Lang, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[ProtoTable.JobTable, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.MessageEvents+Message, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.InviteFriendData, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.ShopData, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.ComItem, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.StarLevelUpCost, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[ICSharpCode.NRefactory.Ast.QueryExpressionJoinConditionVB, ICSharpCode.NRefactory, Version=3.2.1.6466, Culture=neutral, PublicKeyToken=efe927acf176eea2]] of size 36
    Type: System.Collections.Generic.List`1[[ProtoTable.RetinueChangeBuffTable, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.RetinueChangeSkillCost, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[ICSharpCode.NRefactory.Ast.QueryExpressionClause, ICSharpCode.NRefactory, Version=3.2.1.6466, Culture=neutral, PublicKeyToken=efe927acf176eea2]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.RetinueChangeSkillCostData, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.EnchantmentsCardData, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[Network.MsgDATA, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.TeamChapter, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.Team, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.ClientSystemTownFrame+ChatObject, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.RetinueManager+RetinueLevelUpCost, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.UI.IClipper, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.UI.StencilMaterial+MatEntry, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[ProtoTable.RetinueLevelTable, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[ProtoTable.GuildSkillTable, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[ICSharpCode.NRefactory.Ast.ParameterDeclarationExpression, ICSharpCode.NRefactory, Version=3.2.1.6466, Culture=neutral, PublicKeyToken=efe927acf176eea2]] of size 36
    Type: System.Collections.ArrayList of size 36
    Type: System.IO.StreamReader of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.RectTransform, UnityEngine, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.GuildMemberData, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.GuildRequesterData, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.UI.Image, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.MissionManager+SingleMissionInfo, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[Unity.PackageManager.Ivy.IvyRepository, Unity.IvyParser, Version=1.0.3.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.IClientFrameStackCmd, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.MissionManager+MissionLevelItems, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.ActiveManager+ControlData+StatusValue, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.ActiveManager+ControlData, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[ProtoTable.MissionTable, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[Unity.PackageManager.Ivy.IvyArtifact, Unity.IvyParser, Version=1.0.3.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[Protocol.Skill, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEditor.IPreviewable, UnityEditor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.ActiveManager+ActivityData, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[Protocol.TaskPair, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.ActiveManager+ActiveMainUpdateKey, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.ActiveManager+ActiveMainKeyValue, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[Protocol.WarpStoneInfo, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[System.Action`1[[Unity.PackageManager.Task, Unity.PackageManager, Version=4.5.0.0, Culture=neutral, PublicKeyToken=null]], mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 36
    Type: System.Collections.Generic.List`1[[ProtoTable.UnionCell, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[Protocol.ItemCD, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.UIEvent, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[Protocol.RetinueSkill, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.ClientEventSystem+UIEventHandler, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.ComDungeonBuffTipList+BuffUnit, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[ICSharpCode.NRefactory.Ast.AttributeSection, ICSharpCode.NRefactory, Version=3.2.1.6466, Culture=neutral, PublicKeyToken=efe927acf176eea2]] of size 36
    Type: System.Collections.Generic.List`1[[NPOI.HSSF.Record.Chart.StartBlockRecord, NPOI, Version=2.2.0.0, Culture=neutral, PublicKeyToken=0df73ec7942b34e1]] of size 36
    Type: System.Collections.Generic.List`1[[ProtoTable.ActiveTable, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[System.Object, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 36
    Type: System.Collections.Generic.List`1[[NPOI.SS.Formula.Udf.UDFFinder, NPOI, Version=2.2.0.0, Culture=neutral, PublicKeyToken=0df73ec7942b34e1]] of size 36
    Type: System.Collections.Generic.List`1[[ICSharpCode.NRefactory.Ast.INode, ICSharpCode.NRefactory, Version=3.2.1.6466, Culture=neutral, PublicKeyToken=efe927acf176eea2]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.ComNewbieData, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[GameClient.NewbieConditionData, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[ICSharpCode.NRefactory.Ast.Expression, ICSharpCode.NRefactory, Version=3.2.1.6466, Culture=neutral, PublicKeyToken=efe927acf176eea2]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.UI.Selectable, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[BehaviorDesigner.Runtime.BehaviorManager+BehaviorTree, BehaviorDesignerRuntime, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
    Type: System.Collections.Generic.List`1[[UnityEngine.EventSystems.BaseRaycaster, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 36
